movieId,actorId
177371,852
177371,685
177371,984
182407,672
182407,541
182407,88
179482,848
179482,46
182205,105
182205,50
182635,985
182635,37
182635,200
171752,257
171752,153
177508,68
174065,275
174065,683
168745,586
168745,637
179393,714
179393,630
167653,909
167653,473
167653,393
183132,639
183132,571
183132,690
170286,918
170286,131
168711,213
168711,960
168711,926
185155,861
185155,124
142266,614
142266,331
142266,573
180372,133
180372,545
180372,534
185913,397
185913,137
185913,881
185925,876
185925,652
185925,317
188345,1054
188345,535
188345,528
187366,749
187366,179
187366,542
181554,749
181554,179
167651,278
167651,761
167651,941
169078,859
169078,90
169078,547
180209,924
180209,838
180209,961
161967,476
161967,677
161967,899
174255,767
174255,290
179506,82
179506,928
185131,127
185131,1028
173668,476
173668,379
173668,819
175324,713
175324,606
175324,380
186241,150
186241,1041
186241,62
177909,285
177909,129
177909,166
187979,220
187979,696
175366,510
175366,640
175366,693
127386,833
127386,277
127386,436
174297,54
174297,163
164172,943
164172,331
164172,275
183660,709
183660,933
183877,266
180385,814
180385,1009
180385,634
177511,755
177511,1065
163608,282
163608,608
163608,900
178485,203
178485,825
178485,799
175404,61
175404,739
175404,742
190364,898
190364,206
190364,538
164907,1006
164907,425
164907,925
165460,24
165460,78
165460,81
182348,698
182348,843
182348,914
179125,105
179125,588
179125,941
179461,957
179461,518
167699,612
167699,617
179398,744
179398,295
179398,57
174296,518
174296,874
184859,110
184859,1032
171785,557
171785,148
171785,245
185924,667
185924,309
185924,721
176625,1033
176625,823
176625,5
177483,295
177483,386
187940,661
187940,1015
187940,285
180402,957
180402,610
180402,858
179307,369
179307,131
180351,402
180351,450
180351,804
186259,168
186259,828
186259,504
179397,532
179397,214
179397,443
178526,612
178526,282
178526,900
185192,294
185192,292
185192,515
161500,91
161500,221
161500,657
176742,117
176742,302
176742,202
177543,517
177543,1043
177543,77
187051,3
187051,935
187051,492
189053,909
189053,761
179875,684
179875,606
179875,829
164173,50
164173,282
164173,907
183136,676
183136,654
183136,238
170309,1069
170309,911
170309,987
182699,297
182699,146
182699,106
167099,738
167099,359
167099,734
172529,18
172529,24
172529,732
119591,834
119591,750
119591,25
178544,323
178544,525
178544,584
173906,845
173906,19
185134,651
185134,211
185134,122
174050,446
174050,817
179306,832
170290,336
170290,346
170290,330
179301,592
179301,518
179301,483
180397,575
180397,563
180397,461
177599,258
177599,1
177599,72
183876,285
183876,359
183876,871
174530,266
178483,109
178483,199
178483,358
189046,917
189046,542
189046,176
179159,61
179159,253
179159,139
152624,393
152624,937
152624,1070
181584,703
181584,523
181584,583
181568,111
181568,942
181568,462
179095,1000
179095,531
179095,201
187390,192
187390,644
187390,442
182777,316
177967,285
177967,114
177967,138
153580,677
153580,823
153580,380
154672,493
154672,876
154672,689
177510,434
177510,941
188436,753
188436,240
168683,507
168683,868
168683,1068
174256,343
187629,378
187629,434
187629,130
180169,648
180169,597
180169,969
173842,197
173842,629
173842,464
167629,101
167629,38
152344,704
152344,335
152344,747
144318,272
144318,338
144318,371
168744,363
168744,131
167422,958
167422,945
167422,762
167597,715
167597,719
167597,155
174903,907
174903,621
162149,873
162149,748
162149,771
186219,128
186219,1038
186219,326
179392,65
179392,581
179392,495
186236,918
186236,167
186236,821
174304,889
174304,553
189264,839
189264,486
189264,635
176886,445
176886,516
176912,471
171409,896
171409,956
171409,908
173667,22
173667,763
183804,406
183804,630
183804,1018
189563,620
189563,8
189563,337
185450,89
185450,162
185450,922
161984,1021
161984,446
161984,957
184125,529
184125,805
179158,80
179158,871
182387,252
182387,149
182387,451
187637,185
187637,222
168743,885
168743,745
168743,140
185149,1003
185149,604
185149,394
153934,424
153934,259
153934,559
159070,423
159070,14
159070,660
159806,112
159806,972
159806,144
188192,786
188192,76
188192,377
177374,847
177374,234
174834,477
174834,597
167648,261
167648,575
167648,801
189630,724
189630,17
181046,873
181046,300
181046,883
181717,313
181717,53
181717,6
179302,351
179302,903
159845,233
159845,474
96951,359
96951,279
96951,983
174268,362
174268,758
174268,288
174797,549
174797,1049
174797,253
180390,446
180390,909
119552,35
119552,1056
119552,998
174292,28
174292,7
184266,66
184266,86
184266,54
182360,40
182360,131
182360,178
189068,643
179310,628
179310,94
168740,269
168740,393
168740,126
175316,948
175316,548
175316,380
189373,562
189373,68
189373,215
195668,856
195668,254
188909,847
188909,51
188909,601
190579,927
190579,448
190579,160
189631,950
189631,892
189631,582
165287,811
165287,236
165287,910
174269,432
174269,544
180378,512
180378,409
180378,1042
194688,307
194688,321
194688,69
189440,110
178569,648
194289,648
175393,51
175393,95
175393,253
190325,504
190325,545
190325,691
193976,438
193976,1025
179394,165
179394,649
179394,56
193330,891
193330,967
193330,540
193116,824
193116,990
189623,989
189623,544
189623,385
176306,661
176306,684
176306,51
193185,334
193185,864
193185,659
190381,242
190381,737
190381,269
193331,354
189069,1071
189069,738
189069,359
198425,1071
198425,738
198425,359
195690,1063
195690,810
183866,450
183866,1017
183866,253
194086,585
194086,711
194086,125
193194,741
193194,900
193194,512
192191,119
192191,432
192191,478
167421,95
167421,481
167421,189
193136,224
193136,248
193136,1027
177039,497
177039,724
179520,59
179520,58
179520,293
187357,97
187357,809
187357,333
193992,797
193992,428
189622,365
189622,470
189622,99
195652,567
195652,7
195652,758
195967,368
195967,262
195967,796
194273,952
194273,491
194273,712
190584,666
190584,226
200180,48
200180,700
200180,965
177509,684
177509,135
177509,408
189438,850
189438,800
185917,10
185917,739
186114,791
193801,682
193801,26
193801,596
194334,63
194334,687
194334,717
194007,352
194007,373
194007,273
172181,1052
172181,951
179894,909
179894,403
179894,870
167600,147
167600,454
189141,40
189141,693
189141,387
193214,703
193214,144
193214,1037
174294,485
174294,11
184630,733
184630,807
184630,384
187893,599
187893,606
187893,296
194344,286
194344,665
194344,484
198737,271
198737,662
198737,962
181705,613
181705,1011
181705,641
193054,500
193054,578
193990,795
193990,291
193990,936
178520,305
178520,457
178520,456
142265,787
142265,239
185378,158
185378,753
185378,204
198430,1005
198430,814
198430,964
189633,744
189633,747
186239,763
186239,326
186239,498
194027,958
194027,945
194027,702
190598,730
190598,975
190598,595
189634,304
189634,217
190458,184
190458,107
186704,192
186704,536
179859,257
179859,774
182234,546
182234,331
182234,668
197645,752
197645,996
197645,906
185151,207
185151,20
185151,816
198433,933
198433,410
198433,878
189568,970
189568,1031
189568,1035
193839,389
193839,944
195061,41
195061,550
164143,846
164143,566
164143,253
185150,798
185150,680
185150,44
180851,55
180851,496
180851,418
194910,1016
194910,459
190573,727
193092,638
193092,766
193092,523
189628,246
189628,629
189628,869
186821,275
186821,114
186821,257
199393,1028
199393,265
189625,525
189625,609
189625,241
183854,739
183854,142
183854,433
188834,993
188834,979
188834,991
179181,817
179181,847
179181,402
176747,177
176747,202
189119,887
189119,1002
197644,368
197644,572
197644,611
182835,487
182835,114
174261,1061
174261,1047
174261,576
178687,756
178687,872
181925,1015
181925,90
181925,1039
194485,575
194485,500
194485,854
194661,443
194661,1020
194661,441
185153,54
185153,235
186235,794
186235,363
186235,264
196855,70
196855,1010
196855,931
180025,530
180025,14
180025,347
179481,688
179481,366
179481,391
195670,893
195670,427
195670,171
182353,66
182353,625
182353,338
185838,61
185838,862
185838,1070
192150,186
192150,904
192150,1042
188472,948
188472,139
188472,640
199860,359
199860,684
199860,621
185614,1071
185614,195
185614,723
208530,602
208530,811
208530,327
194205,900
194205,734
194205,937
182362,617
182362,351
182362,790
159074,46
159074,319
159074,900
189075,446
189075,417
189120,939
189120,591
189120,392
185264,278
185264,565
185264,253
190320,417
190320,114
190320,253
196809,826
196809,465
192620,29
192620,957
185293,434
185293,75
189124,169
189124,678
204649,1028
204649,647
204649,29
193328,295
193328,136
193328,808
187549,437
187549,694
187549,632
195962,60
200785,547
200785,863
195691,723
195691,1012
195691,511
187849,135
187849,236
187849,968
190382,75
190382,605
190382,601
206168,75
206168,149
206168,740
201863,45
201863,832
194463,234
194463,283
194463,558
196369,844
196369,71
196369,1067
195986,270
196361,502
196361,520
196361,485
205629,452
205629,249
205629,124
210932,752
210932,877
202901,954
202901,883
201898,938
201898,835
180382,797
180382,558
180382,941
201718,488
201718,479
201718,768
195694,525
195694,624
195694,312
184366,555
184366,130
184366,521
202526,645
202526,915
202526,98
189586,722
189586,897
189586,372
204175,413
204175,774
204175,43
194074,592
194074,573
192609,955
192609,353
192609,803
193327,36
193327,934
203715,851
203715,13
203715,419
197468,51
197468,93
