movieId,directorId
177371,310
182407,265
179482,50
182205,134
182635,19
171752,562
177508,567
174065,470
168745,383
179393,112
167653,110
183132,423
170286,441
168711,81
185155,204
142266,502
180372,531
180372,313
185913,553
185925,201
185925,489
188345,507
187366,531
187366,125
181554,531
181554,125
167651,348
169078,347
180209,155
161967,233
174255,195
179506,6
185131,258
173668,514
175324,84
186241,230
186241,276
177909,249
187979,565
175366,318
127386,550
174297,543
164172,15
183660,391
183877,98
180385,342
177511,478
189071,355
163608,178
178485,303
175404,197
190364,337
179420,184
164907,569
165460,447
182348,411
179125,9
179461,458
167699,291
179398,379
174296,471
184859,520
171785,94
185924,503
176625,311
177483,570
187940,421
187940,64
180402,459
179307,65
180351,147
186259,308
179397,287
178526,307
185192,219
161500,511
176742,72
177543,161
177543,246
187051,206
189053,487
179875,399
164173,558
183136,139
183136,331
170309,151
182699,42
167099,455
172529,498
119591,386
178544,111
173906,142
185134,63
174050,402
179306,196
170290,545
179301,269
179301,354
180397,356
177599,405
183876,539
174530,225
178483,403
189046,229
179159,163
152624,117
181584,133
181568,193
181568,74
179095,552
187390,270
182777,442
177967,384
153580,396
154672,262
177510,123
188436,210
168683,67
174256,538
187629,363
180169,449
173842,364
167629,215
167629,194
152344,428
144318,415
144318,298
168744,333
167422,261
167597,374
174903,349
162149,494
186219,18
179392,92
186236,350
174304,292
189264,510
189264,234
189264,255
176886,185
176912,223
179526,451
171409,522
171409,464
173667,75
183804,70
183804,10
183804,235
189563,447
185450,319
161984,368
184125,126
190979,158
190979,78
179158,488
182387,429
187637,26
168743,113
185149,469
153934,8
159070,93
159806,22
159806,132
188192,503
173753,205
177374,419
174834,20
167648,482
189630,203
181046,549
181046,517
181046,224
181717,97
179302,551
159845,12
96951,36
174268,445
174797,492
180390,304
119552,165
174292,177
184266,4
184266,135
184266,435
182360,500
189068,265
179310,30
168740,496
175316,335
189373,431
195668,248
188909,289
190579,541
188178,444
189631,501
165287,537
174269,452
180378,186
194688,401
189440,168
178569,463
194289,463
175393,66
190325,378
196839,378
193976,220
179394,124
193330,477
193116,561
189623,321
176306,306
193185,190
190381,208
193331,199
189069,572
198425,572
195690,282
183866,2
194086,556
193194,202
192191,567
167421,102
185139,57
193136,268
193136,66
177039,505
179520,28
187357,232
193992,300
189622,211
195652,4
195652,554
195652,47
195967,481
194273,346
190584,54
200180,140
177509,131
189438,188
185917,293
186114,214
193801,13
195659,53
194334,68
194007,454
172181,504
179894,490
167600,99
189141,404
193214,25
174294,494
184630,167
187893,574
194344,164
194344,351
198737,432
181705,343
193054,52
193990,322
178520,518
142265,438
142265,61
185378,494
198430,544
189633,534
186239,281
194027,433
190598,325
189634,49
190458,302
186704,323
179859,473
182234,414
197645,116
197645,462
185151,283
198433,529
189568,559
193839,115
195061,436
164143,426
185150,475
180851,499
194910,55
190573,332
190573,380
193092,540
189628,267
186821,453
199393,108
189625,21
183854,272
188834,76
179181,90
176747,275
189119,157
197644,260
197644,256
182835,251
174261,62
178687,493
181925,41
194485,529
194661,338
185153,543
186235,340
196855,524
180025,252
179481,326
195670,130
182353,450
185838,533
192150,160
188472,118
199860,390
185614,548
208530,324
194205,128
182362,327
159074,381
189075,406
189120,37
185264,510
190320,71
190320,40
196809,466
192620,513
185293,238
189124,141
204649,24
193328,372
187549,316
195962,485
195962,153
200785,88
195691,425
187849,345
190382,576
206168,279
201863,568
194463,138
196369,224
195986,170
196361,224
205629,501
210932,407
202901,290
201898,413
201898,33
180382,575
201718,60
197487,89
197487,207
195694,395
184366,108
202526,537
189586,516
204175,19
194074,418
192609,257
193327,245
203715,227
197468,148
202352,323
208655,573
203468,408
203716,394
210895,296
194666,154
211163,301
211163,243
194889,535
211286,523
194084,222
198497,382
199665,509
201853,13
197071,105
198623,479
206220,95
201696,263
194909,239
203488,360
188195,8
194887,491
193043,177
194907,223
206608,567
201735,31
201818,273
204781,578
208462,315
197523,339
190012,412
203465,371
203310,560
205614,437
194022,101
199068,107
197496,503
201724,59
194082,109
195622,357
195622,277
154793,286
201783,410
194097,58
188826,373
209100,506
198478,328
198494,344
198941,143
198306,328
200193,104
189620,189
198621,312
198621,375
203085,430
211301,472
197461,366
194886,457
179395,213
162422,77
194085,46
191267,387
198471,212
195164,169
201702,150
188415,171
198622,32
198622,242
190455,16
201742,309
187420,244
178504,231
198308,314
209647,120
201800,146
201800,80
201800,317
201731,474
201687,446
180681,566
198626,440
202370,250
185148,409
185148,82
194660,122
203721,305
203661,14
198399,216
207532,464
197069,398
151961,38
23138,44
193044,264
201685,240
201685,542
201685,564
178267,528
208858,503
197061,170
140738,56
198412,439
188872,191
188872,254
154947,367
176746,579
201692,48
201692,334
201692,580
197062,149
208982,226
210266,320
184320,519
201801,173
201801,284
201801,11
201686,461
201686,1
201686,67
189569,100
197447,187
198481,184
167674,35
192608,353
194196,136
192151,527
184519,555
196367,217
195758,397
198413,209
201641,359
216100,373
196854,17
194204,106
211161,147
187821,526
204640,175
177366,228
210852,453
190991,182
186233,180
190400,336
183862,525
191657,389
191430,330
217720,537
159812,118
197668,456
191652,515
191652,96
189137,34
190374,486
213364,73
213364,301
196362,508
201701,200
193324,373
218188,376
187338,420
215791,571
209738,5
208772,271
208824,541
213624,355
204650,340
213418,104
213504,253
215579,152
217023,166
213481,7
213481,329
214569,121
212159,567
208144,388
201766,172
219834,370
219834,476
219834,531
213415,83
220584,546
208821,247
203461,521
216171,369
218812,577
210768,267
146418,416
208839,427
218816,468
186658,361
209785,299
198472,237
194081,434
218049,352
214678,39
213403,385
213487,274
213487,162
215455,301
204159,393
204159,443
220063,121
206221,497
207520,8
207520,191
207520,365
204177,536
209730,480
183780,126
219816,360
212082,91
220044,260
220044,256
217034,557
216269,127
198624,542
198967,422
198967,103
197068,483
218612,392
199666,362
208094,460
208814,179
204176,23
218821,567
213199,45
222343,341
198309,108
198309,448
212129,181
204138,484
204138,241
213599,221
208133,236
208133,87
213595,285
217081,27
223079,13
201810,578
213382,156
213382,278
213382,417
209727,400
203719,563
218468,297
209739,377
210039,79
208873,547
213576,294
213419,259
213478,137
213478,495
218845,145
213329,159
206217,83
188831,467
189621,51
189621,174
213404,530
203667,176
198475,367
209728,266
208976,424
216167,465
194908,1
195178,532
216174,280
199908,43
213577,119
198625,114
209731,192
194668,183
213542,86
193963,295
193042,218
207524,358
213557,85
214999,52
201799,69
197524,29
213434,3
213417,129
199668,288
213335,198
213335,144
